trade_id,timestamp,underlying,expiry,strike,option_type,side,quantity,price,reason
133,2022-11-01 10:25:25,BANKNIFTY,2022-11-03,41700,CE,SELL,1,258.85,ATM_SHIFT_41700->41800
134,2022-11-01 10:25:25,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.00,ATM_SHIFT_41700->41800
135,2022-11-01 10:25:25,BANKNIFTY,2022-11-03,41800,CE,BUY,1,213.75,ATM_ENTER_41800
136,2022-11-01 10:25:25,BANKNIFTY,2022-11-03,41800,PE,BUY,1,399.65,ATM_ENTER_41800
137,2022-11-01 10:25:35,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.90,ATM_SHIFT_41800->41700
138,2022-11-01 10:25:35,BANKNIFTY,2022-11-03,41800,PE,SELL,1,402.50,ATM_SHIFT_41800->41700
139,2022-11-01 10:25:35,BANKNIFTY,2022-11-03,41700,CE,BUY,1,257.75,ATM_ENTER_41700
140,2022-11-01 10:25:35,BANKNIFTY,2022-11-03,41700,PE,BUY,1,346.85,ATM_ENTER_41700
141,2022-11-01 10:25:36,BANKNIFTY,2022-11-03,41700,CE,SELL,1,259.00,ATM_SHIFT_41700->41800
142,2022-11-01 10:25:36,BANKNIFTY,2022-11-03,41700,PE,SELL,1,347.25,ATM_SHIFT_41700->41800
143,2022-11-01 10:25:36,BANKNIFTY,2022-11-03,41800,CE,BUY,1,214.00,ATM_ENTER_41800
144,2022-11-01 10:25:36,BANKNIFTY,2022-11-03,41800,PE,BUY,1,400.75,ATM_ENTER_41800
145,2022-11-01 10:25:38,BANKNIFTY,2022-11-03,41800,CE,SELL,1,214.10,ATM_SHIFT_41800->41700
146,2022-11-01 10:25:38,BANKNIFTY,2022-11-03,41800,PE,SELL,1,401.05,ATM_SHIFT_41800->41700
147,2022-11-01 10:25:38,BANKNIFTY,2022-11-03,41700,CE,BUY,1,258.65,ATM_ENTER_41700
148,2022-11-01 10:25:38,BANKNIFTY,2022-11-03,41700,PE,BUY,1,346.20,ATM_ENTER_41700
149,2022-11-01 10:25:51,BANKNIFTY,2022-11-03,41700,CE,SELL,1,259.10,ATM_SHIFT_41700->41800
150,2022-11-01 10:25:51,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.30,ATM_SHIFT_41700->41800
151,2022-11-01 10:25:51,BANKNIFTY,2022-11-03,41800,CE,BUY,1,214.70,ATM_ENTER_41800
152,2022-11-01 10:25:51,BANKNIFTY,2022-11-03,41800,PE,BUY,1,399.05,ATM_ENTER_41800
153,2022-11-01 10:25:53,BANKNIFTY,2022-11-03,41800,CE,SELL,1,214.75,ATM_SHIFT_41800->41700
154,2022-11-01 10:25:53,BANKNIFTY,2022-11-03,41800,PE,SELL,1,398.90,ATM_SHIFT_41800->41700
155,2022-11-01 10:25:53,BANKNIFTY,2022-11-03,41700,CE,BUY,1,259.45,ATM_ENTER_41700
156,2022-11-01 10:25:53,BANKNIFTY,2022-11-03,41700,PE,BUY,1,343.40,ATM_ENTER_41700
157,2022-11-01 10:25:55,BANKNIFTY,2022-11-03,41700,CE,SELL,1,259.55,ATM_SHIFT_41700->41800
158,2022-11-01 10:25:55,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.15,ATM_SHIFT_41700->41800
159,2022-11-01 10:25:55,BANKNIFTY,2022-11-03,41800,CE,BUY,1,214.55,ATM_ENTER_41800
160,2022-11-01 10:25:55,BANKNIFTY,2022-11-03,41800,PE,BUY,1,398.55,ATM_ENTER_41800
161,2022-11-01 10:26:05,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.20,ATM_SHIFT_41800->41700
162,2022-11-01 10:26:05,BANKNIFTY,2022-11-03,41800,PE,SELL,1,401.60,ATM_SHIFT_41800->41700
163,2022-11-01 10:26:05,BANKNIFTY,2022-11-03,41700,CE,BUY,1,257.10,ATM_ENTER_41700
164,2022-11-01 10:26:05,BANKNIFTY,2022-11-03,41700,PE,BUY,1,346.30,ATM_ENTER_41700
165,2022-11-01 10:26:07,BANKNIFTY,2022-11-03,41700,CE,SELL,1,257.50,ATM_SHIFT_41700->41800
166,2022-11-01 10:26:07,BANKNIFTY,2022-11-03,41700,PE,SELL,1,346.60,ATM_SHIFT_41700->41800
167,2022-11-01 10:26:07,BANKNIFTY,2022-11-03,41800,CE,BUY,1,211.85,ATM_ENTER_41800
168,2022-11-01 10:26:07,BANKNIFTY,2022-11-03,41800,PE,BUY,1,402.05,ATM_ENTER_41800
169,2022-11-01 10:26:08,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.65,ATM_SHIFT_41800->41700
170,2022-11-01 10:26:08,BANKNIFTY,2022-11-03,41800,PE,SELL,1,401.20,ATM_SHIFT_41800->41700
171,2022-11-01 10:26:08,BANKNIFTY,2022-11-03,41700,CE,BUY,1,257.50,ATM_ENTER_41700
172,2022-11-01 10:26:08,BANKNIFTY,2022-11-03,41700,PE,BUY,1,346.30,ATM_ENTER_41700
173,2022-11-01 10:26:11,BANKNIFTY,2022-11-03,41700,CE,SELL,1,257.90,ATM_SHIFT_41700->41800
174,2022-11-01 10:26:11,BANKNIFTY,2022-11-03,41700,PE,SELL,1,346.05,ATM_SHIFT_41700->41800
175,2022-11-01 10:26:11,BANKNIFTY,2022-11-03,41800,CE,BUY,1,212.85,ATM_ENTER_41800
176,2022-11-01 10:26:11,BANKNIFTY,2022-11-03,41800,PE,BUY,1,401.90,ATM_ENTER_41800
177,2022-11-01 10:26:15,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.15,ATM_SHIFT_41800->41700
178,2022-11-01 10:26:15,BANKNIFTY,2022-11-03,41800,PE,SELL,1,402.00,ATM_SHIFT_41800->41700
179,2022-11-01 10:26:15,BANKNIFTY,2022-11-03,41700,CE,BUY,1,256.30,ATM_ENTER_41700
180,2022-11-01 10:26:15,BANKNIFTY,2022-11-03,41700,PE,BUY,1,347.70,ATM_ENTER_41700
181,2022-11-01 10:29:10,BANKNIFTY,2022-11-03,41700,CE,SELL,1,259.00,ATM_SHIFT_41700->41800
182,2022-11-01 10:29:10,BANKNIFTY,2022-11-03,41700,PE,SELL,1,343.10,ATM_SHIFT_41700->41800
183,2022-11-01 10:29:10,BANKNIFTY,2022-11-03,41800,CE,BUY,1,214.15,ATM_ENTER_41800
184,2022-11-01 10:29:10,BANKNIFTY,2022-11-03,41800,PE,BUY,1,398.35,ATM_ENTER_41800
185,2022-11-01 10:30:05,BANKNIFTY,2022-11-03,41800,CE,SELL,1,211.00,ATM_SHIFT_41800->41700
186,2022-11-01 10:30:05,BANKNIFTY,2022-11-03,41800,PE,SELL,1,401.85,ATM_SHIFT_41800->41700
187,2022-11-01 10:30:05,BANKNIFTY,2022-11-03,41700,CE,BUY,1,255.75,ATM_ENTER_41700
188,2022-11-01 10:30:05,BANKNIFTY,2022-11-03,41700,PE,BUY,1,346.00,ATM_ENTER_41700
189,2022-11-01 10:30:36,BANKNIFTY,2022-11-03,41700,CE,SELL,1,260.20,ATM_SHIFT_41700->41800
190,2022-11-01 10:30:36,BANKNIFTY,2022-11-03,41700,PE,SELL,1,343.00,ATM_SHIFT_41700->41800
191,2022-11-01 10:30:36,BANKNIFTY,2022-11-03,41800,CE,BUY,1,215.30,ATM_ENTER_41800
192,2022-11-01 10:30:36,BANKNIFTY,2022-11-03,41800,PE,BUY,1,398.00,ATM_ENTER_41800
193,2022-11-01 10:30:59,BANKNIFTY,2022-11-03,41800,CE,SELL,1,211.20,ATM_SHIFT_41800->41700
194,2022-11-01 10:30:59,BANKNIFTY,2022-11-03,41800,PE,SELL,1,403.75,ATM_SHIFT_41800->41700
195,2022-11-01 10:30:59,BANKNIFTY,2022-11-03,41700,CE,BUY,1,255.55,ATM_ENTER_41700
196,2022-11-01 10:30:59,BANKNIFTY,2022-11-03,41700,PE,BUY,1,347.70,ATM_ENTER_41700
197,2022-11-01 10:37:03,BANKNIFTY,2022-11-03,41700,CE,SELL,1,255.00,ATM_SHIFT_41700->41800
198,2022-11-01 10:37:03,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.90,ATM_SHIFT_41700->41800
199,2022-11-01 10:37:03,BANKNIFTY,2022-11-03,41800,CE,BUY,1,210.50,ATM_ENTER_41800
200,2022-11-01 10:37:03,BANKNIFTY,2022-11-03,41800,PE,BUY,1,400.40,ATM_ENTER_41800
201,2022-11-01 10:37:14,BANKNIFTY,2022-11-03,41800,CE,SELL,1,208.25,ATM_SHIFT_41800->41700
202,2022-11-01 10:37:14,BANKNIFTY,2022-11-03,41800,PE,SELL,1,404.80,ATM_SHIFT_41800->41700
203,2022-11-01 10:37:14,BANKNIFTY,2022-11-03,41700,CE,BUY,1,252.30,ATM_ENTER_41700
204,2022-11-01 10:37:14,BANKNIFTY,2022-11-03,41700,PE,BUY,1,348.35,ATM_ENTER_41700
205,2022-11-01 10:40:16,BANKNIFTY,2022-11-03,41700,CE,SELL,1,256.75,ATM_SHIFT_41700->41800
206,2022-11-01 10:40:16,BANKNIFTY,2022-11-03,41700,PE,SELL,1,344.90,ATM_SHIFT_41700->41800
207,2022-11-01 10:40:16,BANKNIFTY,2022-11-03,41800,CE,BUY,1,211.60,ATM_ENTER_41800
208,2022-11-01 10:40:16,BANKNIFTY,2022-11-03,41800,PE,BUY,1,400.40,ATM_ENTER_41800
209,2022-11-01 11:57:44,BANKNIFTY,2022-11-03,41800,CE,SELL,1,199.85,ATM_SHIFT_41800->41700
210,2022-11-01 11:57:44,BANKNIFTY,2022-11-03,41800,PE,SELL,1,391.00,ATM_SHIFT_41800->41700
211,2022-11-01 11:57:44,BANKNIFTY,2022-11-03,41700,CE,BUY,1,244.85,ATM_ENTER_41700
212,2022-11-01 11:57:44,BANKNIFTY,2022-11-03,41700,PE,BUY,1,335.70,ATM_ENTER_41700
